checklist_item_id,capture_row_id,check_key,source_id,primary_external_ref_id,target_evidence_section,check_status,review_status,evidence_collection_status,rights_decision_status,source_promotion_status,decipherment_claim_status,source_register_path,capture_scaffold_path,note_draft_path,route_files_to_open,required_review_checks,instruction,instruction_zh,updated_at,research_boundary,output_scope,caution
graph-source-evidence-source-register-check-001,graph-source-evidence-source-register-capture-001,open_capture_row,src-hust-obc,hust-obc-cat-0001,source_register,not_started,needs_source_register_capture_review,not_collected,not_decided,not_promoted,no_claim,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/032_ai-agent-graph-source-source-register-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-001_source-register_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/017_ai-agent-graph-source-evidence-collection-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-001_source-register_collection-note.md;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,open_source_register_row_before_copying_provenance;record_source_id_external_ref_and_review_status_only;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,Open the 032 capture row before editing any source-register evidence fields.,先打开 032 capture row，再编辑任何来源登记证据字段。,2026-06-10,evidence_collection_source_register_capture_review_checklist_not_scholarship,graph_source_evidence_collection_source_register_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
graph-source-evidence-source-register-check-002,graph-source-evidence-source-register-capture-001,open_source_register_row,src-hust-obc,hust-obc-cat-0001,source_register,not_started,needs_source_register_capture_review,not_collected,not_decided,not_promoted,no_claim,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/032_ai-agent-graph-source-source-register-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-001_source-register_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/017_ai-agent-graph-source-evidence-collection-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-001_source-register_collection-note.md;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,open_source_register_row_before_copying_provenance;record_source_id_external_ref_and_review_status_only;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,Open the cited source-register row and verify source_id before copying evidence.,打开被引用的来源登记行，并在复制证据前核对 source_id。,2026-06-10,evidence_collection_source_register_capture_review_checklist_not_scholarship,graph_source_evidence_collection_source_register_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
graph-source-evidence-source-register-check-003,graph-source-evidence-source-register-capture-001,verify_primary_external_ref,src-hust-obc,hust-obc-cat-0001,source_register,not_started,needs_source_register_capture_review,not_collected,not_decided,not_promoted,no_claim,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/032_ai-agent-graph-source-source-register-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-001_source-register_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/017_ai-agent-graph-source-evidence-collection-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-001_source-register_collection-note.md;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,open_source_register_row_before_copying_provenance;record_source_id_external_ref_and_review_status_only;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,Verify the primary external reference against the source-register row; leave evidence blank if not found.,用来源登记行核对首选外部引用；未找到时保持证据字段空白。,2026-06-10,evidence_collection_source_register_capture_review_checklist_not_scholarship,graph_source_evidence_collection_source_register_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
graph-source-evidence-source-register-check-004,graph-source-evidence-source-register-capture-001,verify_title_and_type,src-hust-obc,hust-obc-cat-0001,source_register,not_started,needs_source_register_capture_review,not_collected,not_decided,not_promoted,no_claim,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/032_ai-agent-graph-source-source-register-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-001_source-register_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/017_ai-agent-graph-source-evidence-collection-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-001_source-register_collection-note.md;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,open_source_register_row_before_copying_provenance;record_source_id_external_ref_and_review_status_only;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,"Copy title and source type only from the source-register row, not from memory.",title 和 source type 只能从来源登记行复制，不得凭记忆填写。,2026-06-10,evidence_collection_source_register_capture_review_checklist_not_scholarship,graph_source_evidence_collection_source_register_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
graph-source-evidence-source-register-check-005,graph-source-evidence-source-register-capture-001,verify_rights_and_risk,src-hust-obc,hust-obc-cat-0001,source_register,not_started,needs_source_register_capture_review,not_collected,not_decided,not_promoted,no_claim,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/032_ai-agent-graph-source-source-register-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-001_source-register_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/017_ai-agent-graph-source-evidence-collection-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-001_source-register_collection-note.md;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,open_source_register_row_before_copying_provenance;record_source_id_external_ref_and_review_status_only;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,Record rights and risk only when the register row states them; do not infer rights from access or dataset labels.,只有来源登记行明确记载时才记录权利和风险；不得从访问状态或数据集标签推断权利。,2026-06-10,evidence_collection_source_register_capture_review_checklist_not_scholarship,graph_source_evidence_collection_source_register_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
graph-source-evidence-source-register-check-006,graph-source-evidence-source-register-capture-001,keep_capture_boundary,src-hust-obc,hust-obc-cat-0001,source_register,not_started,needs_source_register_capture_review,not_collected,not_decided,not_promoted,no_claim,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/032_ai-agent-graph-source-source-register-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-001_source-register_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/017_ai-agent-graph-source-evidence-collection-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-001_source-register_collection-note.md;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,open_source_register_row_before_copying_provenance;record_source_id_external_ref_and_review_status_only;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,Keep capture_status empty or reviewed metadata-only until source-marked evidence is recorded.,在带来源标记的证据记录前，capture_status 保持空白或仅限已复核 metadata。,2026-06-10,evidence_collection_source_register_capture_review_checklist_not_scholarship,graph_source_evidence_collection_source_register_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
graph-source-evidence-source-register-check-007,graph-source-evidence-source-register-capture-001,block_source_promotion,src-hust-obc,hust-obc-cat-0001,source_register,not_started,needs_source_register_capture_review,not_collected,not_decided,not_promoted,no_claim,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/032_ai-agent-graph-source-source-register-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-001_source-register_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/017_ai-agent-graph-source-evidence-collection-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-001_source-register_collection-note.md;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,open_source_register_row_before_copying_provenance;record_source_id_external_ref_and_review_status_only;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,"Do not promote the source, staging row, graph edge, component relation, or evolution relation from this checklist.",不得从本 checklist 提升来源、staging row、图谱边、构件关系或演化关系。,2026-06-10,evidence_collection_source_register_capture_review_checklist_not_scholarship,graph_source_evidence_collection_source_register_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
graph-source-evidence-source-register-check-008,graph-source-evidence-source-register-capture-001,block_decipherment_claim,src-hust-obc,hust-obc-cat-0001,source_register,not_started,needs_source_register_capture_review,not_collected,not_decided,not_promoted,no_claim,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/032_ai-agent-graph-source-source-register-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-001_source-register_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/017_ai-agent-graph-source-evidence-collection-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-001_source-register_collection-note.md;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,open_source_register_row_before_copying_provenance;record_source_id_external_ref_and_review_status_only;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,Do not write a decipherment claim or AI hypothesis as scholarship from this checklist.,不得从本 checklist 写入释读声明，也不得把 AI 假说写成学术结论。,2026-06-10,evidence_collection_source_register_capture_review_checklist_not_scholarship,graph_source_evidence_collection_source_register_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
graph-source-evidence-source-register-check-009,graph-source-evidence-source-register-capture-002,open_capture_row,src-evobc,evobc-cat-00001,source_register,not_started,needs_source_register_capture_review,not_collected,not_decided,not_promoted,no_claim,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/032_ai-agent-graph-source-source-register-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/evobc/graph-source-evidence-task-010_source-register_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/017_ai-agent-graph-source-evidence-collection-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/evobc/graph-source-evidence-task-010_source-register_collection-note.md;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,open_source_register_row_before_copying_provenance;record_source_id_external_ref_and_review_status_only;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,Open the 032 capture row before editing any source-register evidence fields.,先打开 032 capture row，再编辑任何来源登记证据字段。,2026-06-10,evidence_collection_source_register_capture_review_checklist_not_scholarship,graph_source_evidence_collection_source_register_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
graph-source-evidence-source-register-check-010,graph-source-evidence-source-register-capture-002,open_source_register_row,src-evobc,evobc-cat-00001,source_register,not_started,needs_source_register_capture_review,not_collected,not_decided,not_promoted,no_claim,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/032_ai-agent-graph-source-source-register-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/evobc/graph-source-evidence-task-010_source-register_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/017_ai-agent-graph-source-evidence-collection-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/evobc/graph-source-evidence-task-010_source-register_collection-note.md;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,open_source_register_row_before_copying_provenance;record_source_id_external_ref_and_review_status_only;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,Open the cited source-register row and verify source_id before copying evidence.,打开被引用的来源登记行，并在复制证据前核对 source_id。,2026-06-10,evidence_collection_source_register_capture_review_checklist_not_scholarship,graph_source_evidence_collection_source_register_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
