codebook_row_id,source_id,evidence_download_id,code_type,code_value,observed_token,label_en,label_zh,reference_basis,image_reference_count,caution,review_status,updated_at
evobc-code-001,src-evobc,dl-evobc-list-json,era,0,OBC,Oracle Bone Characters,甲骨文字,EVOBC README shorthand table and List_of_EVOBC filename tokens.,75681,Era labels are EVOBC dataset labels and still require source-chain review.,reviewed_metadata_only,2026-06-04
evobc-code-002,src-evobc,dl-evobc-list-json,era,1,BI,Bronze Inscriptions,金文,EVOBC README shorthand table and List_of_EVOBC filename tokens.,47314,Era labels are EVOBC dataset labels and still require source-chain review.,reviewed_metadata_only,2026-06-04
evobc-code-003,src-evobc,dl-evobc-list-json,era,2,SS,Seal Script,篆书,EVOBC README shorthand table and List_of_EVOBC filename tokens.,13434,Era labels are EVOBC dataset labels and still require source-chain review.,reviewed_metadata_only,2026-06-04
evobc-code-004,src-evobc,dl-evobc-list-json,era,3,SAC,Spring and Autumn period Characters,春秋文字,EVOBC README shorthand table and List_of_EVOBC filename tokens.,9131,Era labels are EVOBC dataset labels and still require source-chain review.,reviewed_metadata_only,2026-06-04
evobc-code-005,src-evobc,dl-evobc-list-json,era,4,WSC,Warring States period Characters,战国文字,EVOBC README shorthand table and List_of_EVOBC filename tokens.,80042,Era labels are EVOBC dataset labels and still require source-chain review.,reviewed_metadata_only,2026-06-04
evobc-code-006,src-evobc,dl-evobc-list-json,era,5,CS,Clerical Script,隶书,EVOBC README shorthand table and List_of_EVOBC filename tokens.,3568,Era labels are EVOBC dataset labels and still require source-chain review.,reviewed_metadata_only,2026-06-04
evobc-code-007,src-evobc,dl-evobc-list-json,source,0,Web:1633,,,Observed from List_of_EVOBC filename tokens; not an official source-name mapping.,1633,Source code labels are not documented in the README and must not be overinterpreted.,reviewed_metadata_only,2026-06-04
evobc-code-008,src-evobc,dl-evobc-list-json,source,1,Web:105952;說文Web:58,,,Observed from List_of_EVOBC filename tokens; not an official source-name mapping.,106010,Source code labels are not documented in the README and must not be overinterpreted.,reviewed_metadata_only,2026-06-04
evobc-code-009,src-evobc,dl-evobc-list-json,source,2,Book:17600,,,Observed from List_of_EVOBC filename tokens; not an official source-name mapping.,17600,Source code labels are not documented in the README and must not be overinterpreted.,reviewed_metadata_only,2026-06-04
evobc-code-010,src-evobc,dl-evobc-list-json,source,3,Book:21681,,,Observed from List_of_EVOBC filename tokens; not an official source-name mapping.,21681,Source code labels are not documented in the README and must not be overinterpreted.,reviewed_metadata_only,2026-06-04
evobc-code-011,src-evobc,dl-evobc-list-json,source,4,Book:9131,,,Observed from List_of_EVOBC filename tokens; not an official source-name mapping.,9131,Source code labels are not documented in the README and must not be overinterpreted.,reviewed_metadata_only,2026-06-04
evobc-code-012,src-evobc,dl-evobc-list-json,source,5,Book:32794,,,Observed from List_of_EVOBC filename tokens; not an official source-name mapping.,32794,Source code labels are not documented in the README and must not be overinterpreted.,reviewed_metadata_only,2026-06-04
evobc-code-013,src-evobc,dl-evobc-list-json,source,6,Web:30645,,,Observed from List_of_EVOBC filename tokens; not an official source-name mapping.,30645,Source code labels are not documented in the README and must not be overinterpreted.,reviewed_metadata_only,2026-06-04
evobc-code-014,src-evobc,dl-evobc-list-json,source,7,Book:9676,,,Observed from List_of_EVOBC filename tokens; not an official source-name mapping.,9676,Source code labels are not documented in the README and must not be overinterpreted.,reviewed_metadata_only,2026-06-04
