profile_id,source_id,evidence_download_id,metadata_file,profile_metric,profile_value,profile_unit,import_relevance,caution,review_status,updated_at
metadata-profile-000001,src-hust-obc,dl-hust-obc-figshare-api,HUST-OBC.zip,figshare_file_size_bytes,607933810,bytes,Confirms raw HUST-OBC package must stay outside regular Git,Raw package is too large for Git and must be extracted into reviewed derivatives,reviewed_metadata_only,2026-06-04
metadata-profile-000002,src-hust-obc,dl-hust-obc-figshare-api,HUST-OBC.zip,figshare_license,CC BY 4.0,license_label,Records Figshare package-level license statement,Dataset source chain still needs review before raw asset redistribution,reviewed_metadata_only,2026-06-04
metadata-profile-000003,src-hust-obc,dl-hust-obc-validation-label,Validation_label.json,validation_label_count,1588,category_mappings,Matches reported deciphered-class scale and can seed candidate class staging,Validation labels are dataset category IDs and not accepted character readings,reviewed_metadata_only,2026-06-04
metadata-profile-000004,src-hust-obc,dl-hust-obc-validation-label,Validation_label.json,validation_label_value_range,0-1587,integer_ids,Shows one-to-one contiguous validation category index range,Category ordering is dataset-specific and must not replace project IDs,reviewed_metadata_only,2026-06-04
metadata-profile-000005,src-hust-obc,dl-hust-obc-ocr-chinese-to-id,Chinese_to_ID.json,ocr_mapping_count,88901,character_mappings,Useful for OCR tooling and auxiliary modern-character lookup,OCR mapping is broad Chinese OCR metadata and not oracle-bone decipherment authority,reviewed_metadata_only,2026-06-04
metadata-profile-000006,src-hust-obc,dl-hust-obc-ocr-id-to-chinese,ID_to_Chinese.json,ocr_inverse_mapping_count,88901,character_mappings,Confirms reverse OCR lookup size for auxiliary tooling,OCR mapping is auxiliary and must be cross-checked before corpus use,reviewed_metadata_only,2026-06-04
metadata-profile-000007,src-obimd,dl-obimd-main-character-json,Main-character.json,main_character_uid_count,3936,main_character_uids,Can seed OBIMD main-character UID staging and source-label crosswalks,UIDs are dataset-specific and not universal character IDs,reviewed_metadata_only,2026-06-04
metadata-profile-000008,src-obimd,dl-obimd-main-character-json,Main-character.json,empty_codepoint_count,0,records,All inspected main-character records have a codepoint field,Codepoint/transcription fields are platform references and not final philological readings,reviewed_metadata_only,2026-06-04
metadata-profile-000009,src-obimd,dl-obimd-main-character-json,Main-character.json,transcription_empty_count,1159,records,Identifies records needing extra review before transcription-based import,Missing transcription cannot be silently filled by AI,reviewed_metadata_only,2026-06-04
metadata-profile-000010,src-obimd,dl-obimd-subchar-glyph-mapping,Sub-character to Glyph Code Point Mapping.xlsx,row_count,41687,rows,Supports sub-character UID to platform glyph-code-point staging,Large mapping needs sampled review before promotion,reviewed_metadata_only,2026-06-04
