project_id,record_type,candidate_directory,packet_path,source_index_path,code_index_path,human_review_sheet_path,source_character_label,source_character_codepoints,image_reference_count,review_status,updated_at
obs-evo-cand-000701,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/701_obs-evo-cand-000701_evobc-cat-00701_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/701_obs-evo-cand-000701_evobc-cat-00701_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/701_obs-evo-cand-000701_evobc-cat-00701_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/701_obs-evo-cand-000701_evobc-cat-00701_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/701_obs-evo-cand-000701_evobc-cat-00701_evolution-candidate/04_human-review-sheet.md,亥,U+4EA5,298,needs_human_evolution_review,2026-06-20
obs-evo-cand-000702,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/702_obs-evo-cand-000702_evobc-cat-00702_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/702_obs-evo-cand-000702_evobc-cat-00702_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/702_obs-evo-cand-000702_evobc-cat-00702_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/702_obs-evo-cand-000702_evobc-cat-00702_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/702_obs-evo-cand-000702_evobc-cat-00702_evolution-candidate/04_human-review-sheet.md,亦,U+4EA6,195,needs_human_evolution_review,2026-06-20
obs-evo-cand-000703,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/703_obs-evo-cand-000703_evobc-cat-00703_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/703_obs-evo-cand-000703_evobc-cat-00703_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/703_obs-evo-cand-000703_evobc-cat-00703_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/703_obs-evo-cand-000703_evobc-cat-00703_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/703_obs-evo-cand-000703_evobc-cat-00703_evolution-candidate/04_human-review-sheet.md,产,U+4EA7,3,needs_human_evolution_review,2026-06-20
obs-evo-cand-000704,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/704_obs-evo-cand-000704_evobc-cat-00704_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/704_obs-evo-cand-000704_evobc-cat-00704_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/704_obs-evo-cand-000704_evobc-cat-00704_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/704_obs-evo-cand-000704_evobc-cat-00704_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/704_obs-evo-cand-000704_evobc-cat-00704_evolution-candidate/04_human-review-sheet.md,亨,U+4EA8,88,needs_human_evolution_review,2026-06-20
obs-evo-cand-000705,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/705_obs-evo-cand-000705_evobc-cat-00705_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/705_obs-evo-cand-000705_evobc-cat-00705_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/705_obs-evo-cand-000705_evobc-cat-00705_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/705_obs-evo-cand-000705_evobc-cat-00705_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/705_obs-evo-cand-000705_evobc-cat-00705_evolution-candidate/04_human-review-sheet.md,亩,U+4EA9,4,needs_human_evolution_review,2026-06-20
obs-evo-cand-000706,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/706_obs-evo-cand-000706_evobc-cat-00706_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/706_obs-evo-cand-000706_evobc-cat-00706_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/706_obs-evo-cand-000706_evobc-cat-00706_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/706_obs-evo-cand-000706_evobc-cat-00706_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/706_obs-evo-cand-000706_evobc-cat-00706_evolution-candidate/04_human-review-sheet.md,享,U+4EAB,89,needs_human_evolution_review,2026-06-20
obs-evo-cand-000707,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/707_obs-evo-cand-000707_evobc-cat-00707_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/707_obs-evo-cand-000707_evobc-cat-00707_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/707_obs-evo-cand-000707_evobc-cat-00707_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/707_obs-evo-cand-000707_evobc-cat-00707_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/707_obs-evo-cand-000707_evobc-cat-00707_evolution-candidate/04_human-review-sheet.md,京,U+4EAC,194,needs_human_evolution_review,2026-06-20
obs-evo-cand-000708,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/708_obs-evo-cand-000708_evobc-cat-00708_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/708_obs-evo-cand-000708_evobc-cat-00708_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/708_obs-evo-cand-000708_evobc-cat-00708_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/708_obs-evo-cand-000708_evobc-cat-00708_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/708_obs-evo-cand-000708_evobc-cat-00708_evolution-candidate/04_human-review-sheet.md,亭,U+4EAD,21,needs_human_evolution_review,2026-06-20
obs-evo-cand-000709,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/709_obs-evo-cand-000709_evobc-cat-00709_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/709_obs-evo-cand-000709_evobc-cat-00709_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/709_obs-evo-cand-000709_evobc-cat-00709_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/709_obs-evo-cand-000709_evobc-cat-00709_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/709_obs-evo-cand-000709_evobc-cat-00709_evolution-candidate/04_human-review-sheet.md,亮,U+4EAE,9,needs_human_evolution_review,2026-06-20
obs-evo-cand-000710,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/710_obs-evo-cand-000710_evobc-cat-00710_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/710_obs-evo-cand-000710_evobc-cat-00710_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/710_obs-evo-cand-000710_evobc-cat-00710_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/710_obs-evo-cand-000710_evobc-cat-00710_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/008_000701-000800_obs-evo-cand-bucket_evolution-candidates/710_obs-evo-cand-000710_evobc-cat-00710_evolution-candidate/04_human-review-sheet.md,亯,U+4EAF,229,needs_human_evolution_review,2026-06-20
