source_route_result_id,source_route_task_id,context_pack_id,source_id,priority_tags,review_focus,route_files_to_open,required_next_checks,result_status,source_register_review_status,route_file_review_status,rights_and_risk_review_status,size_checksum_review_status,derivative_promotion_status,evidence_gap_status,next_artifact_recommendation,research_boundary,output_scope,caution,updated_at
source-route-result-001,source-route-review-001,ai-context-source-coverage-001,src-hust-obc,candidate_queue;graph_derivative;metadata_profile;download_log,open_candidate_queue_and_graph_routes_before_evidence_pack_work,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;corpus/009_statistics-and-derived-features/001_relationship-graph-edge-type-summary.csv;corpus/009_statistics-and-derived-features/002_relationship-graph-node-degree-summary.csv;corpus/009_statistics-and-derived-features/003_ai-agent-relationship-graph-context-pack.json;corpus/008_relationship-graph/005_hust-obc-candidate-graph-edges.jsonl;corpus/001_oracle-characters/000_character-registers/009_hust-obc-obs-char-promotion-review-queue.csv;corpus/009_statistics-and-derived-features/004_ai-agent-hust-obc-bucket-review-route-pack.json;corpus/009_statistics-and-derived-features/005_ai-agent-hust-obc-candidate-evidence-pack-request-queue.csv,verify_candidate_queue_rows_remain_reserved_and_cross_source_review_only;verify_graph_edges_are_metadata_routes_not_component_or_decipherment_claims;open_metadata_profile_rows_and_keep_extraction_reviewed_metadata_only;confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,not_started,not_collected,not_collected,not_collected,not_collected,not_decided,not_collected,not_collected,review_result_scaffold_not_scholarship,source_route_review_scaffold_only,"This row is an empty source-route review result scaffold only. All review sections remain not_collected until an agent opens the cited route files. Do not use it as source evidence, a rights decision, a promotion decision, or a decipherment conclusion.",2026-06-10
source-route-result-002,source-route-review-002,ai-context-source-coverage-001,src-evobc,graph_derivative;metadata_profile;download_log,open_graph_derivatives_and_source_metadata_before_using_edges,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;corpus/009_statistics-and-derived-features/001_relationship-graph-edge-type-summary.csv;corpus/009_statistics-and-derived-features/002_relationship-graph-node-degree-summary.csv;corpus/009_statistics-and-derived-features/003_ai-agent-relationship-graph-context-pack.json;corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl,verify_graph_edges_are_metadata_routes_not_component_or_decipherment_claims;open_metadata_profile_rows_and_keep_extraction_reviewed_metadata_only;confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,not_started,not_collected,not_collected,not_collected,not_collected,not_decided,not_collected,not_collected,review_result_scaffold_not_scholarship,source_route_review_scaffold_only,"This row is an empty source-route review result scaffold only. All review sections remain not_collected until an agent opens the cited route files. Do not use it as source evidence, a rights decision, a promotion decision, or a decipherment conclusion.",2026-06-10
source-route-result-003,source-route-review-003,ai-context-source-coverage-001,src-obimd,graph_derivative;metadata_profile;download_log,open_graph_derivatives_and_source_metadata_before_using_edges,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;corpus/009_statistics-and-derived-features/001_relationship-graph-edge-type-summary.csv;corpus/009_statistics-and-derived-features/002_relationship-graph-node-degree-summary.csv;corpus/009_statistics-and-derived-features/003_ai-agent-relationship-graph-context-pack.json;corpus/008_relationship-graph/006_obimd-component-graph-edges.jsonl,verify_graph_edges_are_metadata_routes_not_component_or_decipherment_claims;open_metadata_profile_rows_and_keep_extraction_reviewed_metadata_only;confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,not_started,not_collected,not_collected,not_collected,not_collected,not_decided,not_collected,not_collected,review_result_scaffold_not_scholarship,source_route_review_scaffold_only,"This row is an empty source-route review result scaffold only. All review sections remain not_collected until an agent opens the cited route files. Do not use it as source evidence, a rights decision, a promotion decision, or a decipherment conclusion.",2026-06-10
source-route-result-004,source-route-review-004,ai-context-source-coverage-001,src-metmuseum-oracle-bone,public_asset;metadata_profile;download_log,open_asset_rights_and_image_metadata_before_visual_review,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/004_asset-source-and-rights-index/001_asset-source-index.csv;project_registry/004_asset-source-and-rights-index/002_asset-rights-review-log.csv;project_registry/004_asset-source-and-rights-index/004_asset-image-technical-profile.csv;project_registry/004_asset-source-and-rights-index/005_asset-image-visual-profile.csv;corpus/009_statistics-and-derived-features/006_ai-agent-public-domain-asset-context-pack.json,verify_asset_rights_checksums_and_visual_profiles_before_image_use;open_metadata_profile_rows_and_keep_extraction_reviewed_metadata_only;confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,not_started,not_collected,not_collected,not_collected,not_collected,not_decided,not_collected,not_collected,review_result_scaffold_not_scholarship,source_route_review_scaffold_only,"This row is an empty source-route review result scaffold only. All review sections remain not_collected until an agent opens the cited route files. Do not use it as source evidence, a rights decision, a promotion decision, or a decipherment conclusion.",2026-06-10
source-route-result-005,source-route-review-005,ai-context-source-coverage-001,src-smithsonian-nmaa-oracle-bone,public_asset;access_limited_or_error;metadata_profile;download_log,open_asset_rights_and_image_metadata_before_visual_review,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/004_asset-source-and-rights-index/001_asset-source-index.csv;project_registry/004_asset-source-and-rights-index/002_asset-rights-review-log.csv;project_registry/004_asset-source-and-rights-index/004_asset-image-technical-profile.csv;project_registry/004_asset-source-and-rights-index/005_asset-image-visual-profile.csv;corpus/009_statistics-and-derived-features/006_ai-agent-public-domain-asset-context-pack.json,verify_asset_rights_checksums_and_visual_profiles_before_image_use;review_download_log_status_and_record_retry_or_metadata_only_decision;open_metadata_profile_rows_and_keep_extraction_reviewed_metadata_only;confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,not_started,not_collected,not_collected,not_collected,not_collected,not_decided,not_collected,not_collected,review_result_scaffold_not_scholarship,source_route_review_scaffold_only,"This row is an empty source-route review result scaffold only. All review sections remain not_collected until an agent opens the cited route files. Do not use it as source evidence, a rights decision, a promotion decision, or a decipherment conclusion.",2026-06-10
source-route-result-006,source-route-review-006,ai-context-source-coverage-001,src-british-museum-oracle-bone,access_limited_or_error;download_log,open_download_logs_and_resolve_access_or_error_boundary,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv,review_download_log_status_and_record_retry_or_metadata_only_decision;confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,not_started,not_collected,not_collected,not_collected,not_collected,not_decided,not_collected,not_collected,review_result_scaffold_not_scholarship,source_route_review_scaffold_only,"This row is an empty source-route review result scaffold only. All review sections remain not_collected until an agent opens the cited route files. Do not use it as source evidence, a rights decision, a promotion decision, or a decipherment conclusion.",2026-06-10
source-route-result-007,source-route-review-007,ai-context-source-coverage-001,src-xiaoxuetang-jiaguwen,access_limited_or_error;download_log,open_download_logs_and_resolve_access_or_error_boundary,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv,review_download_log_status_and_record_retry_or_metadata_only_decision;confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,not_started,not_collected,not_collected,not_collected,not_collected,not_decided,not_collected,not_collected,review_result_scaffold_not_scholarship,source_route_review_scaffold_only,"This row is an empty source-route review result scaffold only. All review sections remain not_collected until an agent opens the cited route files. Do not use it as source evidence, a rights decision, a promotion decision, or a decipherment conclusion.",2026-06-10
source-route-result-008,source-route-review-008,ai-context-source-coverage-001,src-xiaoxuetang-obm,access_limited_or_error;download_log,open_download_logs_and_resolve_access_or_error_boundary,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv,review_download_log_status_and_record_retry_or_metadata_only_decision;confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,not_started,not_collected,not_collected,not_collected,not_collected,not_decided,not_collected,not_collected,review_result_scaffold_not_scholarship,source_route_review_scaffold_only,"This row is an empty source-route review result scaffold only. All review sections remain not_collected until an agent opens the cited route files. Do not use it as source evidence, a rights decision, a promotion decision, or a decipherment conclusion.",2026-06-10
source-route-result-009,source-route-review-009,ai-context-source-coverage-001,src-nlc-oracle-world,metadata_profile;download_log,open_metadata_profile_and_source_register_before_extraction,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv,open_metadata_profile_rows_and_keep_extraction_reviewed_metadata_only;confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,not_started,not_collected,not_collected,not_collected,not_collected,not_decided,not_collected,not_collected,review_result_scaffold_not_scholarship,source_route_review_scaffold_only,"This row is an empty source-route review result scaffold only. All review sections remain not_collected until an agent opens the cited route files. Do not use it as source evidence, a rights decision, a promotion decision, or a decipherment conclusion.",2026-06-10
source-route-result-010,source-route-review-010,ai-context-source-coverage-001,src-penn-museum-oracle-bone,metadata_profile;download_log,open_metadata_profile_and_source_register_before_extraction,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv,open_metadata_profile_rows_and_keep_extraction_reviewed_metadata_only;confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,not_started,not_collected,not_collected,not_collected,not_collected,not_decided,not_collected,not_collected,review_result_scaffold_not_scholarship,source_route_review_scaffold_only,"This row is an empty source-route review result scaffold only. All review sections remain not_collected until an agent opens the cited route files. Do not use it as source evidence, a rights decision, a promotion decision, or a decipherment conclusion.",2026-06-10
