action_id,phase_row_id,source_id,source_type,rights_status,pipeline_gap_status,review_lane,phase_name,phase_status,action_type,action_priority,downloaded_count,checksum_present_count,package_manifest_count,metadata_profile_count,candidate_queue_count,cross_source_crosswalk_match_count,graph_edge_count,missing_or_review_needed_phases,next_review_steps,phase_evidence_paths,route_files_to_open,phase_coverage_path,queue_status,review_outcome_status,claim_boundary,rights_decision_status,source_promotion_status,corpus_import_status,decipherment_claim_status,caution,updated_at
source-pipeline-phase-action-001,source-pipeline-phase-001,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,access_and_checksum_boundary_resolution,downloaded,missing,resolve_download_or_access_boundary,high_access_boundary_review,0,0,0,5,0,0,0,downloaded;unpacked;linked;verified,open_source_register_and_risk_note;verify_rights_status_before_any_use;verify_download_or_access_boundary;verify_field_map_absence_or_plan;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/136_source-pipeline-phase-coverage-matrix.csv,pending_human_review,not_recorded,source_pipeline_phase_action_queue_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline phase action queue only; rows identify human-review actions from existing phase gaps and do not decide rights, promote sources, import corpus records, or make decipherment claims.",2026-06-19
source-pipeline-phase-action-002,source-pipeline-phase-001,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,access_and_checksum_boundary_resolution,unpacked,review_needed,review_package_manifest_or_raw_package_handling,high_package_boundary_review,0,0,0,5,0,0,0,downloaded;unpacked;linked;verified,open_source_register_and_risk_note;verify_rights_status_before_any_use;verify_download_or_access_boundary;verify_field_map_absence_or_plan;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/136_source-pipeline-phase-coverage-matrix.csv,pending_human_review,not_recorded,source_pipeline_phase_action_queue_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline phase action queue only; rows identify human-review actions from existing phase gaps and do not decide rights, promote sources, import corpus records, or make decipherment claims.",2026-06-19
source-pipeline-phase-action-003,source-pipeline-phase-001,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,access_and_checksum_boundary_resolution,linked,missing,review_cross_source_or_graph_linkage,source_pipeline_review,0,0,0,5,0,0,0,downloaded;unpacked;linked;verified,open_source_register_and_risk_note;verify_rights_status_before_any_use;verify_download_or_access_boundary;verify_field_map_absence_or_plan;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/136_source-pipeline-phase-coverage-matrix.csv,pending_human_review,not_recorded,source_pipeline_phase_action_queue_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline phase action queue only; rows identify human-review actions from existing phase gaps and do not decide rights, promote sources, import corpus records, or make decipherment claims.",2026-06-19
source-pipeline-phase-action-004,source-pipeline-phase-001,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,access_and_checksum_boundary_resolution,verified,pending_human_review,record_human_review_outcome,human_outcome_review,0,0,0,5,0,0,0,downloaded;unpacked;linked;verified,open_source_register_and_risk_note;verify_rights_status_before_any_use;verify_download_or_access_boundary;verify_field_map_absence_or_plan;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/136_source-pipeline-phase-coverage-matrix.csv,pending_human_review,not_recorded,source_pipeline_phase_action_queue_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline phase action queue only; rows identify human-review actions from existing phase gaps and do not decide rights, promote sources, import corpus records, or make decipherment claims.",2026-06-19
source-pipeline-phase-action-005,source-pipeline-phase-002,src-cambridge-hopkins,library_collection,metadata_only_until_verified,needs_safe_derived_record_review,safe_derived_record_decision,verified,pending_human_review,record_human_review_outcome,human_outcome_review,1,1,1,6,0,0,4403,verified,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;review_candidate_or_graph_derivatives;record_human_review_outcome_before_promotion,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/136_source-pipeline-phase-coverage-matrix.csv,pending_human_review,not_recorded,source_pipeline_phase_action_queue_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline phase action queue only; rows identify human-review actions from existing phase gaps and do not decide rights, promote sources, import corpus records, or make decipherment claims.",2026-06-19
source-pipeline-phase-action-006,source-pipeline-phase-003,src-evobc,open_research_dataset,source_marked_risk_noted,needs_safe_derived_record_review,safe_derived_record_decision,verified,pending_human_review,record_human_review_outcome,human_outcome_review,5,5,3,7,0,127,51948,verified,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_candidate_or_graph_derivatives;record_human_review_outcome_before_promotion,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/136_source-pipeline-phase-coverage-matrix.csv,pending_human_review,not_recorded,source_pipeline_phase_action_queue_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline phase action queue only; rows identify human-review actions from existing phase gaps and do not decide rights, promote sources, import corpus records, or make decipherment claims.",2026-06-19
source-pipeline-phase-action-007,source-pipeline-phase-004,src-gbedobc,open_research_dataset,source_marked_risk_noted,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,linked,missing,review_cross_source_or_graph_linkage,source_pipeline_review,2,2,2,3,0,0,0,linked;verified,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/136_source-pipeline-phase-coverage-matrix.csv,pending_human_review,not_recorded,source_pipeline_phase_action_queue_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline phase action queue only; rows identify human-review actions from existing phase gaps and do not decide rights, promote sources, import corpus records, or make decipherment claims.",2026-06-19
source-pipeline-phase-action-008,source-pipeline-phase-004,src-gbedobc,open_research_dataset,source_marked_risk_noted,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,verified,pending_human_review,record_human_review_outcome,human_outcome_review,2,2,2,3,0,0,0,linked;verified,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/136_source-pipeline-phase-coverage-matrix.csv,pending_human_review,not_recorded,source_pipeline_phase_action_queue_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline phase action queue only; rows identify human-review actions from existing phase gaps and do not decide rights, promote sources, import corpus records, or make decipherment claims.",2026-06-19
source-pipeline-phase-action-009,source-pipeline-phase-005,src-hust-obc,open_research_dataset,source_marked_risk_noted,needs_safe_derived_record_review,safe_derived_record_decision,verified,pending_human_review,record_human_review_outcome,human_outcome_review,8,8,4,11,10996,1588,27291,verified,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_candidate_or_graph_derivatives;record_human_review_outcome_before_promotion,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/136_source-pipeline-phase-coverage-matrix.csv,pending_human_review,not_recorded,source_pipeline_phase_action_queue_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline phase action queue only; rows identify human-review actions from existing phase gaps and do not decide rights, promote sources, import corpus records, or make decipherment claims.",2026-06-19
source-pipeline-phase-action-010,source-pipeline-phase-006,src-ihp-museum-oracle-bones,museum_collection,metadata_only_until_verified,needs_field_map_review,field_map_semantics_review,linked,missing,review_cross_source_or_graph_linkage,source_pipeline_review,1,1,1,2,0,0,0,linked;verified,open_source_register_and_risk_note;verify_rights_status_before_any_use;verify_field_map_absence_or_plan;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/136_source-pipeline-phase-coverage-matrix.csv,pending_human_review,not_recorded,source_pipeline_phase_action_queue_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline phase action queue only; rows identify human-review actions from existing phase gaps and do not decide rights, promote sources, import corpus records, or make decipherment claims.",2026-06-19
