review_log_draft_id,source_engineering_gap_id,source_id,gap_type,priority_rank,current_stage,authority_tier,rights_status,draft_path,source_queue_path,route_files_to_open,observed_gap_evidence,required_next_checks,draft_status,evidence_collection_status,human_review_status,rights_decision_status,source_promotion_status,commit_policy_boundary,research_boundary,caution,updated_at
source-engineering-gap-review-log-draft-0001,source-engineering-gap-0001,src-british-museum-oracle-bone,access_boundary_or_error_followup,1,discovered_access_boundary_or_error,museum_collection,metadata_only_until_verified,doc/public/user_research/009_source-engineering-gap-review-queues/0001_src-british-museum-oracle-bone_access_boundary_or_error_followup_review-log.md,corpus/009_statistics-and-derived-features/099_ai-agent-source-engineering-gap-queue.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,current_stage=discovered_access_boundary_or_error;download_status_counts=http_error:1;downloaded_count=0;download_log_count=1;checksum_present_count=0;field_map_count=0;package_manifest_count=0;metadata_profile_count=0;graph_edge_count=0;downloaded_file_bytes=0;gap_type=access_boundary_or_error_followup,open_download_log_and_status_codebook;record_retry_manual_access_or_metadata_only_boundary;do_not_promote_failed_or_restricted_download_as_source_content,draft_not_collected,not_collected,pending_human_review,no_new_rights_decision,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_gap_review_log_draft_not_scholarship,"This draft is a source-engineering routing scaffold only. It is not source evidence, not rights clearance, not a source promotion decision, not a corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-review-log-draft-0002,source-engineering-gap-0002,src-sinica-da-xiaoxuetang-site,access_boundary_or_error_followup,1,pending_human_review,institutional_portal,metadata_only_until_verified,doc/public/user_research/009_source-engineering-gap-review-queues/0002_src-sinica-da-xiaoxuetang-site_access_boundary_or_error_followup_review-log.md,corpus/009_statistics-and-derived-features/099_ai-agent-source-engineering-gap-queue.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,current_stage=pending_human_review;download_status_counts=download_error:1;downloaded_count=0;download_log_count=1;checksum_present_count=0;field_map_count=1;package_manifest_count=0;metadata_profile_count=3;graph_edge_count=0;downloaded_file_bytes=0;gap_type=access_boundary_or_error_followup,open_download_log_and_status_codebook;record_retry_manual_access_or_metadata_only_boundary;do_not_promote_failed_or_restricted_download_as_source_content,draft_not_collected,not_collected,pending_human_review,no_new_rights_decision,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_gap_review_log_draft_not_scholarship,"This draft is a source-engineering routing scaffold only. It is not source evidence, not rights clearance, not a source promotion decision, not a corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-review-log-draft-0003,source-engineering-gap-0003,src-sinica-yinshang-oracle-vocabulary,access_boundary_or_error_followup,1,pending_human_review,institutional_database,metadata_only_until_verified,doc/public/user_research/009_source-engineering-gap-review-queues/0003_src-sinica-yinshang-oracle-vocabulary_access_boundary_or_error_followup_review-log.md,corpus/009_statistics-and-derived-features/099_ai-agent-source-engineering-gap-queue.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,current_stage=pending_human_review;download_status_counts=download_error:1;downloaded_count=0;download_log_count=1;checksum_present_count=0;field_map_count=2;package_manifest_count=0;metadata_profile_count=2;graph_edge_count=0;downloaded_file_bytes=0;gap_type=access_boundary_or_error_followup,open_download_log_and_status_codebook;record_retry_manual_access_or_metadata_only_boundary;do_not_promote_failed_or_restricted_download_as_source_content,draft_not_collected,not_collected,pending_human_review,no_new_rights_decision,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_gap_review_log_draft_not_scholarship,"This draft is a source-engineering routing scaffold only. It is not source evidence, not rights clearance, not a source promotion decision, not a corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-review-log-draft-0004,source-engineering-gap-0004,src-smithsonian-nmaa-oracle-bone,access_boundary_or_error_followup,1,pending_human_review,national_museum_collection,public_domain_verified,doc/public/user_research/009_source-engineering-gap-review-queues/0004_src-smithsonian-nmaa-oracle-bone_access_boundary_or_error_followup_review-log.md,corpus/009_statistics-and-derived-features/099_ai-agent-source-engineering-gap-queue.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,current_stage=pending_human_review;download_status_counts=downloaded:1;http_error:1;downloaded_count=1;download_log_count=2;checksum_present_count=1;field_map_count=3;package_manifest_count=1;metadata_profile_count=3;graph_edge_count=0;downloaded_file_bytes=115569;gap_type=access_boundary_or_error_followup,open_download_log_and_status_codebook;record_retry_manual_access_or_metadata_only_boundary;do_not_promote_failed_or_restricted_download_as_source_content,draft_not_collected,not_collected,pending_human_review,no_new_rights_decision,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_gap_review_log_draft_not_scholarship,"This draft is a source-engineering routing scaffold only. It is not source evidence, not rights clearance, not a source promotion decision, not a corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-review-log-draft-0005,source-engineering-gap-0005,src-xiaoxuetang-jiaguwen,access_boundary_or_error_followup,1,structured,core_institutional,metadata_only_until_verified,doc/public/user_research/009_source-engineering-gap-review-queues/0005_src-xiaoxuetang-jiaguwen_access_boundary_or_error_followup_review-log.md,corpus/009_statistics-and-derived-features/099_ai-agent-source-engineering-gap-queue.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,current_stage=structured;download_status_counts=download_error:2;downloaded_access_restricted_page:2;downloaded_count=2;download_log_count=4;checksum_present_count=2;field_map_count=6;package_manifest_count=2;metadata_profile_count=0;graph_edge_count=0;downloaded_file_bytes=73834;gap_type=access_boundary_or_error_followup,open_download_log_and_status_codebook;record_retry_manual_access_or_metadata_only_boundary;do_not_promote_failed_or_restricted_download_as_source_content,draft_not_collected,not_collected,pending_human_review,no_new_rights_decision,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_gap_review_log_draft_not_scholarship,"This draft is a source-engineering routing scaffold only. It is not source evidence, not rights clearance, not a source promotion decision, not a corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-review-log-draft-0006,source-engineering-gap-0006,src-xiaoxuetang-obm,access_boundary_or_error_followup,1,structured,core_institutional,metadata_only_until_verified,doc/public/user_research/009_source-engineering-gap-review-queues/0006_src-xiaoxuetang-obm_access_boundary_or_error_followup_review-log.md,corpus/009_statistics-and-derived-features/099_ai-agent-source-engineering-gap-queue.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,current_stage=structured;download_status_counts=downloaded_access_restricted_page:4;downloaded_count=4;download_log_count=4;checksum_present_count=4;field_map_count=6;package_manifest_count=4;metadata_profile_count=0;graph_edge_count=0;downloaded_file_bytes=147668;gap_type=access_boundary_or_error_followup,open_download_log_and_status_codebook;record_retry_manual_access_or_metadata_only_boundary;do_not_promote_failed_or_restricted_download_as_source_content,draft_not_collected,not_collected,pending_human_review,no_new_rights_decision,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_gap_review_log_draft_not_scholarship,"This draft is a source-engineering routing scaffold only. It is not source evidence, not rights clearance, not a source promotion decision, not a corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-review-log-draft-0007,source-engineering-gap-0007,src-british-museum-oracle-bone,checksum_or_failed_download_status_review_needed,2,discovered_access_boundary_or_error,museum_collection,metadata_only_until_verified,doc/public/user_research/009_source-engineering-gap-review-queues/0007_src-british-museum-oracle-bone_checksum_or_failed_download_status_review_needed_review-log.md,corpus/009_statistics-and-derived-features/099_ai-agent-source-engineering-gap-queue.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,current_stage=discovered_access_boundary_or_error;download_status_counts=http_error:1;downloaded_count=0;download_log_count=1;checksum_present_count=0;field_map_count=0;package_manifest_count=0;metadata_profile_count=0;graph_edge_count=0;downloaded_file_bytes=0;gap_type=checksum_or_failed_download_status_review_needed,open_download_log;separate_failed_or_restricted_rows_from checksum-bearing downloads;record_no_source_package_or_metadata_promotion_without verified checksum,draft_not_collected,not_collected,pending_human_review,no_new_rights_decision,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_gap_review_log_draft_not_scholarship,"This draft is a source-engineering routing scaffold only. It is not source evidence, not rights clearance, not a source promotion decision, not a corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-review-log-draft-0008,source-engineering-gap-0008,src-sinica-da-xiaoxuetang-site,checksum_or_failed_download_status_review_needed,2,pending_human_review,institutional_portal,metadata_only_until_verified,doc/public/user_research/009_source-engineering-gap-review-queues/0008_src-sinica-da-xiaoxuetang-site_checksum_or_failed_download_status_review_needed_review-log.md,corpus/009_statistics-and-derived-features/099_ai-agent-source-engineering-gap-queue.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,current_stage=pending_human_review;download_status_counts=download_error:1;downloaded_count=0;download_log_count=1;checksum_present_count=0;field_map_count=1;package_manifest_count=0;metadata_profile_count=3;graph_edge_count=0;downloaded_file_bytes=0;gap_type=checksum_or_failed_download_status_review_needed,open_download_log;separate_failed_or_restricted_rows_from checksum-bearing downloads;record_no_source_package_or_metadata_promotion_without verified checksum,draft_not_collected,not_collected,pending_human_review,no_new_rights_decision,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_gap_review_log_draft_not_scholarship,"This draft is a source-engineering routing scaffold only. It is not source evidence, not rights clearance, not a source promotion decision, not a corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-review-log-draft-0009,source-engineering-gap-0009,src-sinica-yinshang-oracle-vocabulary,checksum_or_failed_download_status_review_needed,2,pending_human_review,institutional_database,metadata_only_until_verified,doc/public/user_research/009_source-engineering-gap-review-queues/0009_src-sinica-yinshang-oracle-vocabulary_checksum_or_failed_download_status_review_needed_review-log.md,corpus/009_statistics-and-derived-features/099_ai-agent-source-engineering-gap-queue.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,current_stage=pending_human_review;download_status_counts=download_error:1;downloaded_count=0;download_log_count=1;checksum_present_count=0;field_map_count=2;package_manifest_count=0;metadata_profile_count=2;graph_edge_count=0;downloaded_file_bytes=0;gap_type=checksum_or_failed_download_status_review_needed,open_download_log;separate_failed_or_restricted_rows_from checksum-bearing downloads;record_no_source_package_or_metadata_promotion_without verified checksum,draft_not_collected,not_collected,pending_human_review,no_new_rights_decision,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_gap_review_log_draft_not_scholarship,"This draft is a source-engineering routing scaffold only. It is not source evidence, not rights clearance, not a source promotion decision, not a corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-review-log-draft-0010,source-engineering-gap-0010,src-smithsonian-nmaa-oracle-bone,checksum_or_failed_download_status_review_needed,2,pending_human_review,national_museum_collection,public_domain_verified,doc/public/user_research/009_source-engineering-gap-review-queues/0010_src-smithsonian-nmaa-oracle-bone_checksum_or_failed_download_status_review_needed_review-log.md,corpus/009_statistics-and-derived-features/099_ai-agent-source-engineering-gap-queue.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,current_stage=pending_human_review;download_status_counts=downloaded:1;http_error:1;downloaded_count=1;download_log_count=2;checksum_present_count=1;field_map_count=3;package_manifest_count=1;metadata_profile_count=3;graph_edge_count=0;downloaded_file_bytes=115569;gap_type=checksum_or_failed_download_status_review_needed,open_download_log;separate_failed_or_restricted_rows_from checksum-bearing downloads;record_no_source_package_or_metadata_promotion_without verified checksum,draft_not_collected,not_collected,pending_human_review,no_new_rights_decision,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_gap_review_log_draft_not_scholarship,"This draft is a source-engineering routing scaffold only. It is not source evidence, not rights clearance, not a source promotion decision, not a corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
