metadata_route_id,source_id,profile_id,evidence_download_id,metadata_file,profile_metric,profile_value,profile_unit,import_relevance,caution,review_status,updated_at
src-hust-obc-metadata-route-001,src-hust-obc,metadata-profile-000001,dl-hust-obc-figshare-raw,HUST-OBC.zip,figshare_file_size_bytes,607933810,bytes,Confirms raw HUST-OBC package must stay outside regular Git,Raw package is too large for Git and must be extracted into reviewed derivatives,reviewed_metadata_only,2026-06-04
src-hust-obc-metadata-route-002,src-hust-obc,metadata-profile-000002,dl-hust-obc-figshare-api,HUST-OBC.zip,figshare_license,CC BY 4.0,license_label,Records Figshare package-level license statement,Dataset source chain still needs review before raw asset redistribution,reviewed_metadata_only,2026-06-04
src-hust-obc-metadata-route-003,src-hust-obc,metadata-profile-000003,dl-hust-obc-validation-label,Validation_label.json,validation_label_count,1588,category_mappings,Matches reported deciphered-class scale and can seed candidate class staging,Validation labels are dataset category IDs and not accepted character readings,reviewed_metadata_only,2026-06-04
src-hust-obc-metadata-route-004,src-hust-obc,metadata-profile-000004,dl-hust-obc-validation-label,Validation_label.json,validation_label_value_range,0-1587,integer_ids,Shows one-to-one contiguous validation category index range,Category ordering is dataset-specific and must not replace project IDs,reviewed_metadata_only,2026-06-04
src-hust-obc-metadata-route-005,src-hust-obc,metadata-profile-000005,dl-hust-obc-ocr-chinese-to-id,Chinese_to_ID.json,ocr_mapping_count,88901,character_mappings,Useful for OCR tooling and auxiliary modern-character lookup,OCR mapping is broad Chinese OCR metadata and not oracle-bone decipherment authority,reviewed_metadata_only,2026-06-04
src-hust-obc-metadata-route-006,src-hust-obc,metadata-profile-000006,dl-hust-obc-ocr-id-to-chinese,ID_to_Chinese.json,ocr_inverse_mapping_count,88901,character_mappings,Confirms reverse OCR lookup size for auxiliary tooling,OCR mapping is auxiliary and must be cross-checked before corpus use,reviewed_metadata_only,2026-06-04
src-hust-obc-metadata-route-007,src-hust-obc,metadata-profile-000019,dl-hust-obc-ocr-id-to-chinese,Validation_label.json;ID_to_Chinese.json,validation_label_crosswalk_count,1588,label_candidates,Confirms every staged HUST validation class can be mapped to an OCR label candidate after zero-padding source category IDs,HUST OCR labels remain dataset metadata and are not accepted oracle-character readings,reviewed_metadata_only,2026-06-04
src-hust-obc-metadata-route-008,src-hust-obc,metadata-profile-000020,dl-hust-obc-ocr-id-to-chinese,Validation_label.json;ID_to_Chinese.json,validation_label_single_component_count,1415,label_candidates,Counts validation label candidates backed by one source category ID,Single-component dataset labels still require cross-source review before formal character import,reviewed_metadata_only,2026-06-04
src-hust-obc-metadata-route-009,src-hust-obc,metadata-profile-000021,dl-hust-obc-ocr-id-to-chinese,Validation_label.json;ID_to_Chinese.json,validation_label_multi_component_count,173,label_candidates,Counts validation label candidates backed by two or three source category IDs,Multi-component dataset labels need extra review before any graph or character-family inference,reviewed_metadata_only,2026-06-04
src-hust-obc-metadata-route-010,src-hust-obc,metadata-profile-000022,dl-hust-obc-ocr-id-to-chinese,Validation_label.json;ID_to_Chinese.json,validation_source_category_count,1781,source_categories,Confirms the 1588 HUST validation classes expand to a contiguous 0001-1781 source-category range,Source categories are dataset references and not formal project character IDs,reviewed_metadata_only,2026-06-04
src-hust-obc-metadata-route-011,src-hust-obc,metadata-profile-000023,dl-hust-obc-ocr-id-to-chinese,Validation_label.json;ID_to_Chinese.json,validation_source_category_multi_member_count,366,source_categories,Counts source-category rows that belong to multi-category validation classes,Multi-category membership needs cross-source review before any component or character-family inference,reviewed_metadata_only,2026-06-04
