phase_row_id,corpus_area,label_en,preprocessing_audit_area_type,preprocessing_current_stage,readiness_stage,review_priority,discovered_status,downloaded_status,registered_status,unpacked_status,extracted_status,cleaned_status,structured_status,linked_status,verified_status,pending_human_review_status,formal_record_count,staging_record_count,candidate_record_count,graph_edge_count,review_queue_count,source_pipeline_evidence_rows,phase_evidence_paths,next_action,candidate_or_staging_boundary,research_boundary_status,claim_boundary,rights_decision_status,source_promotion_status,corpus_import_status,decipherment_claim_status,caution,updated_at
core-corpus-phase-001,oracle_characters,Deciphered-class oracle character candidates,oracle_character_candidates,pending_human_review,ready_for_human_review,high_batch_review,present,present,present,present,present,present,present,present,missing,present,0,4957,1588,3562,1588,0,corpus/001_oracle-characters/000_character-registers/009_hust-obc-obs-char-promotion-review-queue.csv;corpus/009_statistics-and-derived-features/005_ai-agent-hust-obc-candidate-evidence-pack-request-queue.csv,open_phase_evidence_then_batch_review_reserved_obs_char_candidates_before_any_formal_character_assignment,candidate_not_promoted,candidate_not_promoted,core_corpus_phase_coverage_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Core corpus preprocessing phase coverage only; statuses summarize existing engineering evidence and do not decide rights, import corpus records, promote candidates, or make decipherment claims.",2026-06-19
core-corpus-phase-002,undeciphered_oracle_character_candidates,Undeciphered oracle character candidates,undeciphered_character_candidates,pending_human_review,ready_for_human_review,high_batch_review,present,present,present,present,present,present,present,missing,missing,present,0,9408,9408,0,9408,0,corpus/001_oracle-characters/000_character-registers/003_undeciphered-oracle-characters-index.csv;corpus/009_statistics-and-derived-features/051_ai-agent-hust-obc-undeciphered-candidate-review-queue.csv,open_phase_evidence_then_collect_source_marked_evidence_for_priority_undeciphered_candidates_keep_no_identity_claim,candidate_not_promoted,candidate_not_promoted,core_corpus_phase_coverage_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Core corpus preprocessing phase coverage only; statuses summarize existing engineering evidence and do not decide rights, import corpus records, promote candidates, or make decipherment claims.",2026-06-19
core-corpus-phase-003,cross_source_codepoint_routes,HUST/OBIMD/EVOBC codepoint lookup routes,oracle_character_candidates,pending_human_review,ready_for_human_review,targeted_review,present,present,present,present,present,present,present,present,missing,present,0,1588,134,0,134,0,corpus/001_oracle-characters/000_character-registers/011_hust-obimd-evobc-codepoint-crosswalk-staging.csv;corpus/009_statistics-and-derived-features/041_ai-agent-hust-obimd-evobc-codepoint-crosswalk-review-queue.csv;corpus/001_oracle-characters/000_character-registers/009_hust-obc-obs-char-promotion-review-queue.csv,open_phase_evidence_then_review_lookup_routes_as_evidence_paths_not_identity_or_reading_claims,candidate_crosswalk_not_identity_claim,candidate_crosswalk_not_identity_claim,core_corpus_phase_coverage_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Core corpus preprocessing phase coverage only; statuses summarize existing engineering evidence and do not decide rights, import corpus records, promote candidates, or make decipherment claims.",2026-06-19
core-corpus-phase-004,graphemic_components,OBIMD component and glyph-codepoint candidates,components_and_glyph_links,pending_human_review,ready_for_human_review,targeted_review,present,present,present,present,present,present,present,present,missing,present,0,44433,0,44433,1,0,corpus/003_graphemic-components/000_component-registers/002_obimd-subcharacter-main-staging.csv;doc/public/user_research/002_cross-source-review-queues/obimd/;corpus/008_relationship-graph/006_obimd-component-graph-edges.jsonl,open_phase_evidence_then_review_obimd_component_routes_without_promoting_formal_component_ids,candidate_component_graph_not_formal_component,candidate_component_graph_not_formal_component,core_corpus_phase_coverage_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Core corpus preprocessing phase coverage only; statuses summarize existing engineering evidence and do not decide rights, import corpus records, promote candidates, or make decipherment claims.",2026-06-19
core-corpus-phase-005,evolution_correspondences,EVOBC evolution/correspondence candidates,evolution_correspondence_candidates,pending_human_review,ready_for_human_review,targeted_review,present,present,present,present,present,present,present,present,missing,present,0,13728,0,51679,1,0,corpus/004_bronze-seal-modern-correspondences/000_evolution-registers/001_evobc-evolution-category-staging.csv;doc/public/user_research/002_cross-source-review-queues/evobc/;corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl,open_phase_evidence_then_review_evolution_routes_as_dataset_links_not_formal_evolution_chains,candidate_evolution_graph_not_formal_correspondence,candidate_evolution_graph_not_formal_correspondence,core_corpus_phase_coverage_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Core corpus preprocessing phase coverage only; statuses summarize existing engineering evidence and do not decide rights, import corpus records, promote candidates, or make decipherment claims.",2026-06-19
core-corpus-phase-006,inscriptions_and_plate_crosswalks,Inscription and plate/catalog crosswalk staging,inscription_and_collection_staging,pending_human_review,ready_for_human_review,targeted_review,present,mixed_or_partial,present,present,present,present,present,present,missing,present,0,637,0,4403,612,0,corpus/002_oracle-bone-inscriptions/000_inscription-registers/002_cambridge-hopkins-crosswalk-staging.csv;corpus/009_statistics-and-derived-features/098_ai-agent-cambridge-hopkins-inscription-crosswalk-review-queue.csv;corpus/005_excavation-sites-periods-and-batches/000_collection-registers/,open_phase_evidence_then_expand_inscription_records_from_reviewed_catalog_crosswalks_and_access_boundary_routes,staging_crosswalk_not_formal_inscription,staging_crosswalk_not_formal_inscription,core_corpus_phase_coverage_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Core corpus preprocessing phase coverage only; statuses summarize existing engineering evidence and do not decide rights, import corpus records, promote candidates, or make decipherment claims.",2026-06-19
core-corpus-phase-007,collection_provenance_assets,Collection provenance and public-domain object assets,inscription_and_collection_staging,pending_human_review,ready_for_human_review,targeted_review,present,mixed_or_partial,present,present,present,present,present,missing,mixed_or_partial,present,3,60,0,0,4,0,corpus/005_excavation-sites-periods-and-batches/000_collection-registers/001_institutional-collection-provenance-staging.csv;corpus/009_statistics-and-derived-features/074_ai-agent-xxt-obm-access-boundary-followup-review-queue.csv;corpus/005_excavation-sites-periods-and-batches/000_collection-registers/,open_phase_evidence_then_review_collection_metadata_and_keep_unclear_raw_images_outside_git,metadata_or_reviewed_asset_not_raw_import,metadata_or_reviewed_asset_not_raw_import,core_corpus_phase_coverage_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Core corpus preprocessing phase coverage only; statuses summarize existing engineering evidence and do not decide rights, import corpus records, promote candidates, or make decipherment claims.",2026-06-19
core-corpus-phase-008,research_sources_and_bibliography,Research source and bibliography infrastructure,source_registry,verified,ready_for_human_review,targeted_review,present,mixed_or_partial,present,mixed_or_partial,mixed_or_partial,mixed_or_partial,present,present,mixed_or_partial,present,21,197,0,0,606,218,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv;corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/136_source-pipeline-phase-coverage-matrix.csv;corpus/009_statistics-and-derived-features/137_source-pipeline-phase-action-queue.csv;corpus/009_statistics-and-derived-features/138_source-pipeline-phase-action-result-scaffold.csv;corpus/009_statistics-and-derived-features/139_source-pipeline-phase-action-route-summary.json,open_phase_evidence_then_open_source_pipeline_phase_action_source_summary_then_record_human_gated_source_outcomes,source_metadata_not_rights_decision,source_metadata_not_rights_decision,core_corpus_phase_coverage_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Core corpus preprocessing phase coverage only; statuses summarize existing engineering evidence and do not decide rights, import corpus records, promote candidates, or make decipherment claims.",2026-06-19
core-corpus-phase-009,relationship_graph_and_statistics,Relationship graph and derived statistics,relationship_graph,verified,ready_for_human_review,targeted_review,present,not_applicable,present,not_applicable,present,present,present,present,present,present,67646,138,0,104077,3,0,corpus/008_relationship-graph/;corpus/009_statistics-and-derived-features/012_ai-agent-graph-source-cross-review-queue.csv,open_phase_evidence_then_review_graph_edges_as_candidate_routing_edges_before_any_semantic_promotion,candidate_graph_edges_not_semantic_promotion,candidate_graph_edges_not_semantic_promotion,core_corpus_phase_coverage_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Core corpus preprocessing phase coverage only; statuses summarize existing engineering evidence and do not decide rights, import corpus records, promote candidates, or make decipherment claims.",2026-06-19
core-corpus-phase-010,published_research_notes,Published-scholarship and bibliography note scaffolds,review_queues,pending_human_review,ready_for_human_review,targeted_review,present,not_applicable,present,not_applicable,mixed_or_partial,mixed_or_partial,present,mixed_or_partial,missing,present,5,5,0,0,131,0,research/;doc/public/user_research/,open_phase_evidence_then_rewrite_only_reviewed_source_marked_drafts_into_research_notes,draft_or_bibliography_review_queue,draft_or_bibliography_review_queue,core_corpus_phase_coverage_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Core corpus preprocessing phase coverage only; statuses summarize existing engineering evidence and do not decide rights, import corpus records, promote candidates, or make decipherment claims.",2026-06-19
