next_action_id,evidence_snapshot_id,source_engineering_gap_id,review_log_draft_id,source_id,gap_type,priority_rank,action_lane,automation_scope,human_gate,primary_input_path,secondary_input_paths,review_log_path,expected_result_path,checklist_items,blocking_condition,safe_to_automate_status,action_status,human_review_status,rights_decision_status,source_promotion_status,corpus_import_status,research_boundary,caution,updated_at
source-engineering-next-action-0001,source-engineering-gap-evidence-snapshot-0001,source-engineering-gap-0001,source-engineering-gap-review-log-draft-0001,src-british-museum-oracle-bone,access_boundary_or_error_followup,1,access_boundary_followup,route_metadata_only_manual_access_may_be_needed,manual_browser_or_institutional_export_required_before_any_content_claim,corpus/009_statistics-and-derived-features/103_ai-agent-source-engineering-gap-evidence-snapshot.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0001_src-british-museum-oracle-bone_access_boundary_or_error_followup_review-log.md,doc/public/user_research/009_source-engineering-gap-review-queues/0001_src-british-museum-oracle-bone_access_boundary_or_error_followup_next-action-result.md,open_download_log;open_status_codebook;record_access_outcome;separate_http_tls_access_boundary_from_source_content,no_content_import_until_access_or_metadata_only_boundary_is_reviewed,metadata_routing_safe_content_capture_blocked,ready_for_source_engineering_review,pending_human_review,no_new_rights_decision,not_promoted,not_imported,source_engineering_next_action_checklist_not_scholarship,"This checklist only schedules source-engineering preprocessing review. It does not execute downloads, recalculate checksums, clear rights, promote sources, import corpus records, confirm oracle-character identity, or make decipherment conclusions.",2026-06-19
source-engineering-next-action-0002,source-engineering-gap-evidence-snapshot-0002,source-engineering-gap-0002,source-engineering-gap-review-log-draft-0002,src-sinica-da-xiaoxuetang-site,access_boundary_or_error_followup,1,access_boundary_followup,route_metadata_only_manual_access_may_be_needed,manual_browser_or_institutional_export_required_before_any_content_claim,corpus/009_statistics-and-derived-features/103_ai-agent-source-engineering-gap-evidence-snapshot.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0002_src-sinica-da-xiaoxuetang-site_access_boundary_or_error_followup_review-log.md,doc/public/user_research/009_source-engineering-gap-review-queues/0002_src-sinica-da-xiaoxuetang-site_access_boundary_or_error_followup_next-action-result.md,open_download_log;open_status_codebook;record_access_outcome;separate_http_tls_access_boundary_from_source_content,no_content_import_until_access_or_metadata_only_boundary_is_reviewed,metadata_routing_safe_content_capture_blocked,ready_for_source_engineering_review,pending_human_review,no_new_rights_decision,not_promoted,not_imported,source_engineering_next_action_checklist_not_scholarship,"This checklist only schedules source-engineering preprocessing review. It does not execute downloads, recalculate checksums, clear rights, promote sources, import corpus records, confirm oracle-character identity, or make decipherment conclusions.",2026-06-19
source-engineering-next-action-0003,source-engineering-gap-evidence-snapshot-0003,source-engineering-gap-0003,source-engineering-gap-review-log-draft-0003,src-sinica-yinshang-oracle-vocabulary,access_boundary_or_error_followup,1,access_boundary_followup,route_metadata_only_manual_access_may_be_needed,manual_browser_or_institutional_export_required_before_any_content_claim,corpus/009_statistics-and-derived-features/103_ai-agent-source-engineering-gap-evidence-snapshot.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0003_src-sinica-yinshang-oracle-vocabulary_access_boundary_or_error_followup_review-log.md,doc/public/user_research/009_source-engineering-gap-review-queues/0003_src-sinica-yinshang-oracle-vocabulary_access_boundary_or_error_followup_next-action-result.md,open_download_log;open_status_codebook;record_access_outcome;separate_http_tls_access_boundary_from_source_content,no_content_import_until_access_or_metadata_only_boundary_is_reviewed,metadata_routing_safe_content_capture_blocked,ready_for_source_engineering_review,pending_human_review,no_new_rights_decision,not_promoted,not_imported,source_engineering_next_action_checklist_not_scholarship,"This checklist only schedules source-engineering preprocessing review. It does not execute downloads, recalculate checksums, clear rights, promote sources, import corpus records, confirm oracle-character identity, or make decipherment conclusions.",2026-06-19
source-engineering-next-action-0004,source-engineering-gap-evidence-snapshot-0004,source-engineering-gap-0004,source-engineering-gap-review-log-draft-0004,src-smithsonian-nmaa-oracle-bone,access_boundary_or_error_followup,1,access_boundary_followup,route_metadata_only_manual_access_may_be_needed,manual_browser_or_institutional_export_required_before_any_content_claim,corpus/009_statistics-and-derived-features/103_ai-agent-source-engineering-gap-evidence-snapshot.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0004_src-smithsonian-nmaa-oracle-bone_access_boundary_or_error_followup_review-log.md,doc/public/user_research/009_source-engineering-gap-review-queues/0004_src-smithsonian-nmaa-oracle-bone_access_boundary_or_error_followup_next-action-result.md,open_download_log;open_status_codebook;record_access_outcome;separate_http_tls_access_boundary_from_source_content,no_content_import_until_access_or_metadata_only_boundary_is_reviewed,metadata_routing_safe_content_capture_blocked,ready_for_source_engineering_review,pending_human_review,no_new_rights_decision,not_promoted,not_imported,source_engineering_next_action_checklist_not_scholarship,"This checklist only schedules source-engineering preprocessing review. It does not execute downloads, recalculate checksums, clear rights, promote sources, import corpus records, confirm oracle-character identity, or make decipherment conclusions.",2026-06-19
source-engineering-next-action-0005,source-engineering-gap-evidence-snapshot-0005,source-engineering-gap-0005,source-engineering-gap-review-log-draft-0005,src-xiaoxuetang-jiaguwen,access_boundary_or_error_followup,1,access_boundary_followup,route_metadata_only_manual_access_may_be_needed,manual_browser_or_institutional_export_required_before_any_content_claim,corpus/009_statistics-and-derived-features/103_ai-agent-source-engineering-gap-evidence-snapshot.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0005_src-xiaoxuetang-jiaguwen_access_boundary_or_error_followup_review-log.md,doc/public/user_research/009_source-engineering-gap-review-queues/0005_src-xiaoxuetang-jiaguwen_access_boundary_or_error_followup_next-action-result.md,open_download_log;open_status_codebook;record_access_outcome;separate_http_tls_access_boundary_from_source_content,no_content_import_until_access_or_metadata_only_boundary_is_reviewed,metadata_routing_safe_content_capture_blocked,ready_for_source_engineering_review,pending_human_review,no_new_rights_decision,not_promoted,not_imported,source_engineering_next_action_checklist_not_scholarship,"This checklist only schedules source-engineering preprocessing review. It does not execute downloads, recalculate checksums, clear rights, promote sources, import corpus records, confirm oracle-character identity, or make decipherment conclusions.",2026-06-19
source-engineering-next-action-0006,source-engineering-gap-evidence-snapshot-0006,source-engineering-gap-0006,source-engineering-gap-review-log-draft-0006,src-xiaoxuetang-obm,access_boundary_or_error_followup,1,access_boundary_followup,route_metadata_only_manual_access_may_be_needed,manual_browser_or_institutional_export_required_before_any_content_claim,corpus/009_statistics-and-derived-features/103_ai-agent-source-engineering-gap-evidence-snapshot.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0006_src-xiaoxuetang-obm_access_boundary_or_error_followup_review-log.md,doc/public/user_research/009_source-engineering-gap-review-queues/0006_src-xiaoxuetang-obm_access_boundary_or_error_followup_next-action-result.md,open_download_log;open_status_codebook;record_access_outcome;separate_http_tls_access_boundary_from_source_content,no_content_import_until_access_or_metadata_only_boundary_is_reviewed,metadata_routing_safe_content_capture_blocked,ready_for_source_engineering_review,pending_human_review,no_new_rights_decision,not_promoted,not_imported,source_engineering_next_action_checklist_not_scholarship,"This checklist only schedules source-engineering preprocessing review. It does not execute downloads, recalculate checksums, clear rights, promote sources, import corpus records, confirm oracle-character identity, or make decipherment conclusions.",2026-06-19
source-engineering-next-action-0007,source-engineering-gap-evidence-snapshot-0007,source-engineering-gap-0007,source-engineering-gap-review-log-draft-0007,src-british-museum-oracle-bone,checksum_or_failed_download_status_review_needed,2,checksum_and_download_status_review,existing_download_log_metadata_only,human_confirms_failed_or_restricted_download_rows_before_package_promotion,corpus/009_statistics-and-derived-features/103_ai-agent-source-engineering-gap-evidence-snapshot.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0007_src-british-museum-oracle-bone_checksum_or_failed_download_status_review_needed_review-log.md,doc/public/user_research/009_source-engineering-gap-review-queues/0007_src-british-museum-oracle-bone_checksum_or_failed_download_status_review_needed_next-action-result.md,open_download_log;verify_status_and_size_fields;confirm_checksum_absence_or_presence;record_retry_or_no-retry_decision,no_source_package_or_derivative_promotion_without_reviewed_download_status,metadata_audit_safe_checksum_recalculation_blocked,ready_for_source_engineering_review,pending_human_review,no_new_rights_decision,not_promoted,not_imported,source_engineering_next_action_checklist_not_scholarship,"This checklist only schedules source-engineering preprocessing review. It does not execute downloads, recalculate checksums, clear rights, promote sources, import corpus records, confirm oracle-character identity, or make decipherment conclusions.",2026-06-19
source-engineering-next-action-0008,source-engineering-gap-evidence-snapshot-0008,source-engineering-gap-0008,source-engineering-gap-review-log-draft-0008,src-sinica-da-xiaoxuetang-site,checksum_or_failed_download_status_review_needed,2,checksum_and_download_status_review,existing_download_log_metadata_only,human_confirms_failed_or_restricted_download_rows_before_package_promotion,corpus/009_statistics-and-derived-features/103_ai-agent-source-engineering-gap-evidence-snapshot.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0008_src-sinica-da-xiaoxuetang-site_checksum_or_failed_download_status_review_needed_review-log.md,doc/public/user_research/009_source-engineering-gap-review-queues/0008_src-sinica-da-xiaoxuetang-site_checksum_or_failed_download_status_review_needed_next-action-result.md,open_download_log;verify_status_and_size_fields;confirm_checksum_absence_or_presence;record_retry_or_no-retry_decision,no_source_package_or_derivative_promotion_without_reviewed_download_status,metadata_audit_safe_checksum_recalculation_blocked,ready_for_source_engineering_review,pending_human_review,no_new_rights_decision,not_promoted,not_imported,source_engineering_next_action_checklist_not_scholarship,"This checklist only schedules source-engineering preprocessing review. It does not execute downloads, recalculate checksums, clear rights, promote sources, import corpus records, confirm oracle-character identity, or make decipherment conclusions.",2026-06-19
source-engineering-next-action-0009,source-engineering-gap-evidence-snapshot-0009,source-engineering-gap-0009,source-engineering-gap-review-log-draft-0009,src-sinica-yinshang-oracle-vocabulary,checksum_or_failed_download_status_review_needed,2,checksum_and_download_status_review,existing_download_log_metadata_only,human_confirms_failed_or_restricted_download_rows_before_package_promotion,corpus/009_statistics-and-derived-features/103_ai-agent-source-engineering-gap-evidence-snapshot.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0009_src-sinica-yinshang-oracle-vocabulary_checksum_or_failed_download_status_review_needed_review-log.md,doc/public/user_research/009_source-engineering-gap-review-queues/0009_src-sinica-yinshang-oracle-vocabulary_checksum_or_failed_download_status_review_needed_next-action-result.md,open_download_log;verify_status_and_size_fields;confirm_checksum_absence_or_presence;record_retry_or_no-retry_decision,no_source_package_or_derivative_promotion_without_reviewed_download_status,metadata_audit_safe_checksum_recalculation_blocked,ready_for_source_engineering_review,pending_human_review,no_new_rights_decision,not_promoted,not_imported,source_engineering_next_action_checklist_not_scholarship,"This checklist only schedules source-engineering preprocessing review. It does not execute downloads, recalculate checksums, clear rights, promote sources, import corpus records, confirm oracle-character identity, or make decipherment conclusions.",2026-06-19
source-engineering-next-action-0010,source-engineering-gap-evidence-snapshot-0010,source-engineering-gap-0010,source-engineering-gap-review-log-draft-0010,src-smithsonian-nmaa-oracle-bone,checksum_or_failed_download_status_review_needed,2,checksum_and_download_status_review,existing_download_log_metadata_only,human_confirms_failed_or_restricted_download_rows_before_package_promotion,corpus/009_statistics-and-derived-features/103_ai-agent-source-engineering-gap-evidence-snapshot.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0010_src-smithsonian-nmaa-oracle-bone_checksum_or_failed_download_status_review_needed_review-log.md,doc/public/user_research/009_source-engineering-gap-review-queues/0010_src-smithsonian-nmaa-oracle-bone_checksum_or_failed_download_status_review_needed_next-action-result.md,open_download_log;verify_status_and_size_fields;confirm_checksum_absence_or_presence;record_retry_or_no-retry_decision,no_source_package_or_derivative_promotion_without_reviewed_download_status,metadata_audit_safe_checksum_recalculation_blocked,ready_for_source_engineering_review,pending_human_review,no_new_rights_decision,not_promoted,not_imported,source_engineering_next_action_checklist_not_scholarship,"This checklist only schedules source-engineering preprocessing review. It does not execute downloads, recalculate checksums, clear rights, promote sources, import corpus records, confirm oracle-character identity, or make decipherment conclusions.",2026-06-19
